##################################################
# this file maps inputs into the receiver/correlator to antennas and polarisations.
# in addition, a cable length delta (in meters) can be specified
# the first column is not actually used by the uvfits writer, but is there as
# an aide to human readers. Inputs are ordered from 0 to n_inp-1
# antenna numbering starts at 0 and is an index into the corresponding antenna_locations.txt file
# lines beginning with '\#' and blank lines are ignored. Do not leave spaces in empty lines.
#
# Input flagging: put a 1 in the flag column to flag all data from that input.
#                 0 means no flag.
# Cable lengths: if length is prefixed by EL_ then no velocity correction factor is needed
#               since the value is interpreted directly as an electrical length
# this is based on decoding from an email from Alessio 12/2/2018, which notes internal re-ordering
# inside preADU:
#antenna_preadu_mapping = {0: 1,  1: 2,  2: 3,    3: 4,
#                          8: 5,  9: 6,  10: 7,  11: 8,
#                         15: 9, 14: 10, 13: 11, 12: 12,
#                          7: 13, 6: 14,  5: 15,  4: 16}
#
##################################################
# INPUT   ANTENNA   POL     DELTA   FLAG 
326	13	X	0	0
327	13	Y	0	0
328	81	X	0	0
329	81	Y	0	0
330	39	X	0	0
331	39	Y	0	0
332	41	X	0	0
333	41	Y	0	0
334	70	X	0	0
335	70	Y	0	0
336	68	X	0	0
337	68	Y	0	0
338	44	X	0	0
339	44	Y	0	0
340	80	X	0	0
341	80	Y	0	0
342	66	X	0	0
343	66	Y	0	0
344	73	X	0	0
345	73	Y	0	0
346	75	X	0	0
347	75	Y	0	0
348	99	X	0	0
349	99	Y	0	0
350	40	X	0	1
351	40	Y	0	1
352	114	X	0	0
353	114	Y	0	0
354	111	X	0	0
355	111	Y	0	0
356	109	X	0	0
357	109	Y	0	0
358	104	X	0	0
359	104	Y	0	0
360	117	X	0	0
361	117	Y	0	0
362	72	X	0	0
363	72	Y	0	0
364	115	X	0	0
365	115	Y	0	0
366	74	X	0	0
367	74	Y	0	0
368	112	X	0	0
369	112	Y	0	0
370	116	X	0	0
371	116	Y	0	0
372	106	X	0	0
373	106	Y	0	0
374	105	X	0	0
375	105	Y	0	0
376	108	X	0	0
377	108	Y	0	0
378	110	X	0	0
379	110	Y	0	0
380	113	X	0	0
381	113	Y	0	0
382	107	X	0	0
383	107	Y	0	0
384	142	X	0	0
385	142	Y	0	0
386	139	X	0	0
387	139	Y	0	0
388	172	X	0	0
389	172	Y	0	0
390	141	X	0	0
391	141	Y	0	0
392	140	X	0	0
393	140	Y	0	0
394	177	X	0	0
395	177	Y	0	0
396	138	X	0	0
397	138	Y	0	0
398	145	X	0	0
399	145	Y	0	0
400	175	X	0	0
401	175	Y	0	0
402	137	X	0	0
403	137	Y	0	0
404	173	X	0	0
405	173	Y	0	0
406	174	X	0	0
407	174	Y	0	0
408	146	X	0	0
409	146	Y	0	0
410	143	X	0	0
411	143	Y	0	0
412	144	X	0	0
413	144	Y	0	0
414	176	X	0	0
415	176	Y	0	0
416	212	X	0	0
417	212	Y	0	0
418	211	X	0	0
419	211	Y	0	0
420	206	X	0	0
421	206	Y	0	0
422	148	X	0	0
423	148	Y	0	0
424	178	X	0	0
425	178	Y	0	0
426	208	X	0	0
427	208	Y	0	0
428	210	X	0	0
429	210	Y	0	0
430	180	X	0	0
431	180	Y	0	0
